,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4d,4f,4d-3D3,4f-3D2,7,5,209.3,0.023216,6.24E-03,1.36E+02,36.4897,Ar(4d'[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d'[5/2]3),R,17704.12,47773.74
4d,4f,4d-3D3,4f-1D2,7,5,254.86,9.3E-05,9.28E-06,80.5753,32.1308,Ar(4d'[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d'[5/2]3),R,19105.54,39234.15
4d,4f,4d-3D3,4f-3F2,7,5,1694.43,9.28E-06,1.64E-04,3.55311,62.6318,Ar(4d'[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d'[5/2]3),O,11097.44,5901.59
4d,4f,4d-1F3,4f-3D2,7,5,1076.14,4.54E-05,3.24E-04,5.01391,35.7292,Ar(4d[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(4d[5/2]3),O,16061.65,-9292.56
4d,4f,4d-1F3,4f-1D2,7,5,1030.58,1.14E-04,7.47E-04,11.5341,75.5513,Ar(4d[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(4d[5/2]3),O,15059.49,-9703.37
4d,4f,4d-1F3,4f-3F2,7,5,409,2.98E-03,3.06E-03,66.4841,68.27778,Ar(4d[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(4d[5/2]3),O,4788.01,24449.28
4d,4f,4d-3F3,4f-3D3,7,7,491.93,1.15E-02,1.71E-02,2.64E+02,3.95E+02,Ar(4d[7/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d[7/2]3),O,9834.0,20326.86
4d,4f,4d-3F3,4f-3G3,7,7,1930.78,3.08E-05,7.02E-04,10.9474,2.49E+02,Ar(4d[7/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d[7/2]3),O,4097.74,5179.17
4d,4f,4d-3F3,4f-3F3,7,7,1931.49,1.45E-04,3.33E-03,51.6114,1.18E+03,Ar(4d[7/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d[7/2]3),O,4096.07,5177.27
4d,4f,4d-3D3,4f-3D3,7,7,254.5,0.334987,0.133216,2.07E+03,8.22E+02,Ar(4d'[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d'[5/2]3),R,19094.12,39289.64
4d,4f,4d-3D3,4f-1F3,7,7,277.08,0.010083,4.75E-03,73.7697,34.7688,Ar(4d'[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d'[5/2]3),R,19857.21,36086.75
4d,4f,4d-3D3,4f-3G3,7,7,1693.35,4.56E-05,8.02E-04,12.4548,2.19E+02,Ar(4d'[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d'[5/2]3),O,11113.99,5905.38
4d,4f,4d-3D3,4f-3F3,7,7,1694.05,2.31E-04,4.06E-03,63.0465,1.11E+03,Ar(4d'[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d'[5/2]3),O,11101.7,5902.91
4d,4f,4d-1F3,4f-3D3,7,7,1030.94,1.02E-03,6.70E-03,1.04E+02,6.79E+02,Ar(4d[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d[5/2]3),O,15066.59,-9699.98
4d,4f,4d-1F3,4f-1F3,7,7,1008.36,6.22E-04,3.91E-03,60.3087,3.79E+02,Ar(4d[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d[5/2]3),O,14623.18,-9917.29
4d,4f,4d-1F3,4f-3G3,7,7,407.91,0.046003,0.046996,7.29E+02,7.45E+02,Ar(4d[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d[5/2]3),O,4791.09,24514.61
4d,4f,4d-1F3,4f-3F3,7,7,408.62,0.059915,0.061422,9.53E+02,9.77E+02,Ar(4d[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d[5/2]3),O,4788.8,24472.02
4d,4f,4d-3F3,4f-1G4,7,9,468.28,0.954264,1.29465,1.55E+04,2.10E+04,Ar(4d[7/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(4d[7/2]3),O,10057.28,21353.38
4d,4f,4d-3F3,4f-1F3,7,7,514.55,0.041296,0.067654,8.10E+02,1.33E+03,Ar(4d[7/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d[7/2]3),O,9643.15,19434.46
4d,4f,4d-3F3,4f-3G4,7,9,1930.89,4.67205E-02,4.27869E-02,5.63E+02,1.29E+03,Ar(4d[7/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(4d[7/2]3),O,4097.67,5178.88
4d,4f,4d-3D3,4f-1G4,7,9,230.85,0.182218,0.059623,7.20E+02,2.35E+02,Ar(4d'[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(4d'[5/2]3),R,18305.08,43314.42
4d,4f,4d-1P1,4f-1G4,3,9,1693.45,8.80E-04,0.015486,1.87E+02,3.29E+03,Ar(4d'[3/2]1),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(4d'[3/2]1),R,12426.3,-5904.97
4d,4f,4d-1F3,4f-1G4,7,9,1054.59,2.10E-03,0.014477,2.22E+02,1.53E+03,Ar(4d[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(4d[5/2]3),O,15597.1,-9482.45
4d,4f,4d-1F3,4f-3F4,7,9,1008.32,2.10E-03,0.013138,2.03E+02,1.27E+03,Ar(4d[5/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(4d[5/2]3),O,14622.36,-9917.58
4d,4f,4d-1F3,4f-3G4,7,9,408.02,1.23392,1.26124,1.52E+04,1.56E+04,Ar(4d[5/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(4d[5/2]3),O,4790.99,24508.0
4d,4f,4d-3F4,4f-3D3,9,7,606.82,5.99E-03,0.013533,2.10E+02,4.75E+02,Ar(4d[7/2]4),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(4d[7/2]4),O,8291.17,16478.81
4d,4f,4d-3F4,4f-3G3,9,7,2045.67,1.50E-06,3.85E-05,0.14216,3.65243,Ar(4d[7/2]4),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(4d[7/2]4),O,3802.87,4888.33
4d,4f,4d-3F4,4f-3F3,9,7,2046.37,1.5E-05,3.85E-05,0.597566,1.53642,Ar(4d[7/2]4),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(4d[7/2]4),O,3801.43,4886.63
4d,4f,4d-3F4,4f-1G4,9,9,583.17,0.024443,0.051036,6.16E+02,1.29E+03,Ar(4d[7/2]4),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(4d[7/2]4),O,8449.32,17147.07
4d,4f,4d-3F4,4f-1F3,9,7,629.44,0.112065,0.272607,3.29E+03,8.00E+03,Ar(4d[7/2]4),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(4d[7/2]4),O,8155.09,15887.39
4d,4f,4d-3F4,4f-3G4,9,9,2045.77,1.25E-05,3.21E-04,3.88179,99.7482,Ar(4d[7/2]4),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(4d[7/2]4),O,3802.81,4888.06
4d,4f,4d-3F4,4f-3G5,9,11,582.99,1.0669,2.22642,2.20E+04,4.59E+04,Ar(4d[7/2]4),Ar(4f[9/2]5),Ar(4f[9/2]5)->Ar(4d[7/2]4),O,8449.61,17152.07
g,5d,g-1S0,5d-3P1,1,3,121262.12,1.04E-03,1.17E-03,3.39E+06,3.83E+06,Ar,Ar(5d[1/2]1),Ar(5d[1/2]1)->Ar,O,82.01,82.47
g,5d,g-1S0,5d-3D1,1,3,121857.63,0.053039,0.060041,1.75E+08,1.98E+08,Ar,Ar(5d[3/2]1),Ar(5d[3/2]1)->Ar,O,81.62,82.06
g,5d,g-1S0,5d-1P1,1,3,123687.21,0.068294,0.077339,2.31E+08,2.61E+08,Ar,Ar(5d'[3/2]1),Ar(5d'[3/2]1)->Ar,O,80.77,80.85
5d,4f,5d-3P0,4f-3D1,1,3,2034.06,0.050392,0.041429,1.39E+05,1.14E+05,Ar(5d[1/2]0),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d[1/2]0),R,6227.17,-4916.28
5d,4f,5d-3P1,4f-3D1,3,3,2093.45,0.041429,0.046981,4.58E+04,3.99E+04,Ar(5d[1/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d[1/2]1),R,5731.92,-4776.8
5d,4f,5d-3D1,4f-3D1,3,3,2688.96,1.45E-03,2.08E-03,2.33E+03,3.35E+03,Ar(5d[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d[3/2]1),R,4299.3,-3718.91
5d,4f,5d-1P1,4f-3D1,3,3,4518.54,6.88E-05,2.24E-04,2.50E+02,8.14E+02,Ar(5d'[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d'[3/2]1),R,2756.85,-2213.1
5d,4f,5d-3P1,4f-3D2,3,5,2092.97,0.061962,0.053958,6.03E+04,5.26E+04,Ar(5d[1/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[1/2]1),R,5733.23,-4777.9
5d,4f,5d-3P1,4f-1D2,3,5,2047.41,0.037954,0.031606,3.54E+04,2.95E+04,Ar(5d[1/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[1/2]1),R,5872.73,-4884.22
5d,4f,5d-3P1,4f-3F2,3,5,607.83,3.24E-03,2.38E-04,2.66E+02,19.5498,Ar(5d[1/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[1/2]1),R,35936.62,-16451.97
5d,4f,5d-3D1,4f-3D2,3,5,2688.47,0.04605,0.066191,7.40E+04,1.06E+05,Ar(5d[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[3/2]1),R,4300.04,-3719.57
5d,4f,5d-3D1,4f-1D2,3,5,2642.92,0.061725,0.085699,9.59E+04,1.33E+05,Ar(5d[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[3/2]1),R,4378.04,-3783.69
5d,4f,5d-3D1,4f-3F2,3,5,1203.34,0.014403,4.14E-03,4.64E+03,1.33E+03,Ar(5d[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[3/2]1),R,11633.16,-8310.2
5d,4f,5d-1P1,4f-3D2,3,5,4518.06,3.17E-03,0.010325,1.15E+04,3.75E+04,Ar(5d'[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d'[3/2]1),R,2757.15,-2213.34
5d,4f,5d-1P1,4f-1D2,3,5,4472.51,1.57E-03,5.00E-03,5.59E+03,1.78E+04,Ar(5d'[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d'[3/2]1),R,2789.01,-2235.89
5d,4f,5d-1P1,4f-3F2,3,5,3032.92,0.112601,0.146523,1.64E+05,2.13E+05,Ar(5d'[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d'[3/2]1),R,4627.53,-3297.15
5d,4f,5d-3P2,4f-3D1,5,3,2187.35,4.61E-03,4.38E-03,2.94E+03,2.80E+03,Ar(5d[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d[3/2]2),R,5266.8,-4571.76
5d,4f,5d-1D2,4f-3D1,5,3,2327.76,1.89E-03,2.04E-03,1.37E+03,1.47E+03,Ar(5d'[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d'[5/2]2),R,3014.54,-4295.98
5d,4f,5d-3F2,4f-3D1,5,3,3661.67,6.47E-06,1.72E-05,11.5756,30.8335,Ar(5d[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d[5/2]2),R,4775.84,-2731.01
5d,4f,5d-3D2,4f-3D1,5,3,3674.91,3.87E-05,1.04E-04,69.8023,1.87E+02,Ar(5d'[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(5d'[3/2]2),R,3140.02,-2721.17
5d,4f,5d-3P2,4f-3D2,5,5,2186.86,0.042132,0.04006,2.69E+04,2.56E+04,Ar(5d[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[3/2]2),R,5267.91,-4572.77
5d,4f,5d-3P2,4f-1D2,5,5,2141.3,0.012127,0.01105,7.42E+03,6.76E+03,Ar(5d[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[3/2]2),R,5385.45,-4670.06
5d,4f,5d-3P2,4f-3F2,5,5,701.73,4.20E-04,4.11E-05,27.5946,2.70168,Ar(5d[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[3/2]2),R,23130.14,-14250.7
5d,4f,5d-1D2,4f-3D2,5,5,2327.28,1.50E-04,1.62E-04,1.08E+02,1.17E+02,Ar(5d'[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d'[5/2]2),R,3014.9,-4296.86
5d,4f,5d-1D2,4f-1D2,5,5,2281.72,0.036385,0.037641,2.53E+04,2.61E+04,Ar(5d'[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d'[5/2]2),R,3053.04,-4382.66
5d,4f,5d-1D2,4f-3F2,5,5,842.14,4.20E-04,5.92E-05,39.7713,5.60428,Ar(5d'[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d'[5/2]2),R,5402.75,-11874.51
5d,4f,5d-3F2,4f-3D2,5,5,3661.18,1.14E-07,3.06E-07,0.204119,0.547802,Ar(5d[5/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[5/2]2),R,4776.75,-2731.37
5d,4f,5d-3F2,4f-1D2,5,5,3615.63,1.71E-04,4.44E-04,2.98E+02,7.74E+02,Ar(5d[5/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[5/2]2),R,4873.2,-2765.79
5d,4f,5d-3F2,4f-3F2,5,5,2176.05,9.88E-03,9.29E-03,6.24E+03,5.87E+03,Ar(5d[5/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[5/2]2),R,15935.65,-4595.52
5d,4f,5d-3D2,4f-3D2,5,5,3674.43,3.56E-04,9.55E-04,6.41E+02,1.72E+03,Ar(5d'[3/2]2),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d'[3/2]2),R,3140.41,-2721.53
5d,4f,5d-3D2,4f-1D2,5,5,3628.87,5.06E-05,1.32E-04,88.9462,2.33E+02,Ar(5d'[3/2]2),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d'[3/2]2),R,3181.81,-2755.69
5d,4f,5d-3D2,4f-3F2,5,5,2189.29,0.015949,0.015198,1.04E+04,9.72E+03,Ar(5d'[3/2]2),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d'[3/2]2),R,5819.55,-4567.73
5d,4f,5d-3P2,4f-3D3,5,7,2141.66,0.017799,0.016232,1.09E+05,9.93E+04,Ar(5d[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d[3/2]2),R,5384.55,-4669.28
5d,4f,5d-3P2,4f-1F3,5,7,2119.08,2.54E-06,2.41E-06,1.51921,1.44572,Ar(5d[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d[3/2]2),R,5443.54,-4719.05
5d,4f,5d-3P2,4f-3G3,5,7,702.81,1.28E-08,1.08E-09,8.40E-04,7.13E-05,Ar(5d[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d[3/2]2),R,23058.56,-14228.6
5d,4f,5d-3P2,4f-3F3,5,7,702.1,5.87E-03,5.76E-04,3.86E+02,37.8626,Ar(5d[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d[3/2]2),R,23111.64,-14242.99
5d,4f,5d-1D2,4f-3D3,5,7,2282.08,2.49E-03,2.58E-03,1.73E+03,1.79E+03,Ar(5d'[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d'[5/2]2),R,3052.75,-4381.97
5d,4f,5d-1D2,4f-1F3,5,7,2259.49,0.184805,0.187498,1.26E+05,1.28E+05,Ar(5d'[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d'[5/2]2),R,3071.62,-4425.78
5d,4f,5d-1D2,4f-3G3,5,7,843.23,1.60E-03,2.27E-04,1.52E+02,21.5041,Ar(5d'[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d'[5/2]2),R,5398.83,-11859.16
5d,4f,5d-1D2,4f-3F3,5,7,842.52,3.37E-05,4.76E-06,3.18954,0.450819,Ar(5d'[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d'[5/2]2),R,5401.74,-11869.15
5d,4f,5d-3F2,4f-3D3,5,7,3615.98,8.81E-06,2.30E-05,15.3741,40.037,Ar(5d[5/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d[5/2]2),R,4872.45,-2765.51
5d,4f,5d-3F2,4f-1F3,5,7,3593.4,2.88E-04,7.39E-04,4.96E+02,1.27E+03,Ar(5d[5/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d[5/2]2),R,4920.71,-2782.9
5d,4f,5d-3F2,4f-3G3,5,7,2177.13,0.223495,0.210507,1.41E+05,1.33E+05,Ar(5d[5/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d[5/2]2),R,15901.64,-4593.22
5d,4f,5d-3F2,4f-3F3,5,7,2176.43,1.29E-03,1.21E-03,8.13E+02,7.66E+02,Ar(5d[5/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d[5/2]2),R,15926.86,-4594.72
5d,4f,5d-3D2,4f-3D3,5,7,3629.22,7.90E-04,2.07E-03,1.39E+03,3.64E+03,Ar(5d'[3/2]2),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d'[3/2]2),R,3181.5,-2755.42
5d,4f,5d-3D2,4f-1F3,5,7,3606.64,9.95E-08,2.66E-07,0.172647,0.461159,Ar(5d'[3/2]2),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d'[3/2]2),R,3202.0,-2772.68
5d,4f,5d-3D2,4f-3G3,5,7,2190.38,7.22E-05,6.84E-05,46.212,43.7537,Ar(5d'[3/2]2),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d'[3/2]2),R,5815.01,-4565.46
5d,4f,5d-3D2,4f-3F3,5,7,2189.67,0.216659,0.20655,1.39E+05,1.32E+05,Ar(5d'[3/2]2),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d'[3/2]2),R,5818.38,-4566.94
5d,4f,5d-3F3,4f-3D2,7,5,2227.37,2.90E-04,2.86E-04,1.37E+02,1.35E+02,Ar(5d[7/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[7/2]3),R,5072.23,-4489.6
5d,4f,5d-3F3,4f-1D2,7,5,2181.81,2.86E-03,2.70E-03,1.30E+03,1.23E+03,Ar(5d[7/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[7/2]3),R,5181.11,-4583.35
5d,4f,5d-3F3,4f-3F2,7,5,742.24,2.72E-05,2.99E-06,1.42785,0.156356,Ar(5d[7/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[7/2]3),R,19779.65,-13472.91
5d,4f,5d-3D3,4f-3D2,7,5,2355.14,2.68E-03,2.95E-03,1.42E+03,1.56E+03,Ar(5d'[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d'[5/2]3),R,2968.42,-4246.03
5d,4f,5d-3D3,4f-1D2,7,5,2309.58,1.31E-03,1.39E-03,6.67E+02,7.07E+02,Ar(5d'[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d'[5/2]3),R,3005.39,-4329.79
5d,4f,5d-3D3,4f-3F2,7,5,870,1.03E-05,1.55E-06,0.744065,0.111979,Ar(5d'[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d'[5/2]3),R,5255.3,-11494.25
5d,4f,5d-1F3,4f-3D2,7,5,3707.55,4.55E-06,1.24E-05,5.95502,16.2727,Ar(5d[5/2]3),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(5d[5/2]3),R,4670.63,-2697.21
5d,4f,5d-1F3,4f-1D2,7,5,3661.99,1.48E-05,3.93E-05,18.8564,50.2596,Ar(5d[5/2]3),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(5d[5/2]3),R,4762.79,-2730.76
5d,4f,5d-1F3,4f-3F2,7,5,2222.41,7.24E-04,7.11E-04,3.41E+02,3.35E+02,Ar(5d[5/2]3),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(5d[5/2]3),R,14812.8,-4499.64
5d,4f,5d-3F3,4f-3D3,7,7,2182.17,3.73E-03,3.53E-03,1.69E+03,1.60E+03,Ar(5d[7/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d[7/2]3),R,5180.27,-4582.59
5d,4f,5d-3F3,4f-1F3,7,7,2159.59,0.040701,0.037719,1.81E+04,1.68E+04,Ar(5d[7/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d[7/2]3),R,5234.85,-4630.53
5d,4f,5d-3F3,4f-3G3,7,7,743.32,1.14E-05,1.25E-06,0.598734,0.065854,Ar(5d[7/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d[7/2]3),R,19727.28,-13453.16
5d,4f,5d-3F3,4f-3F3,7,7,742.62,2.10E-04,2.30E-05,11.0247,1.20874,Ar(5d[7/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d[7/2]3),R,19766.12,-13466.02
5d,4f,5d-3D3,4f-3D3,7,7,2309.94,0.047988,0.059141,2.44E+04,2.59E+04,Ar(5d'[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d'[5/2]3),R,3005.1,-4329.12
5d,4f,5d-3D3,4f-1F3,7,7,2287.36,1.47E-03,1.53E-03,7.35E+02,7.65E+02,Ar(5d'[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d'[5/2]3),R,3023.39,-4371.87
5d,4f,5d-3D3,4f-3G3,7,7,871.09,2.03E-05,3.06E-06,1.46519,0.221056,Ar(5d'[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d'[5/2]3),R,5251.59,-11479.87
5d,4f,5d-3D3,4f-3F3,7,7,870.38,2.86E-04,4.31E-05,20.6502,3.11059,Ar(5d'[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d'[5/2]3),R,5254.34,-11489.23
5d,4f,5d-1F3,4f-3D3,7,7,3662.35,1.26E-04,3.36E-04,1.61E+02,4.29E+02,Ar(5d[5/2]3),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d[5/2]3),R,4762.08,-2730.49
5d,4f,5d-1F3,4f-1F3,7,7,3639.76,6.35E-05,1.67E-04,80.137,2.11E+02,Ar(5d[5/2]3),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d[5/2]3),R,4808.16,-2747.44
5d,4f,5d-1F3,4f-3G3,7,7,2223.5,0.011028,0.010841,5.20E+03,5.11E+03,Ar(5d[5/2]3),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d[5/2]3),R,14783.41,-4497.43
5d,4f,5d-1F3,4f-3F3,7,7,2222.79,0.014514,0.014259,6.83E+03,6.71E+03,Ar(5d[5/2]3),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d[5/2]3),R,14805.21,-4498.87
5d,4f,5d-3F3,4f-1G4,7,9,2205.82,0.263854,0.255106,1.22E+05,1.18E+05,Ar(5d[7/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(5d[7/2]3),R,5120.39,-4533.46
5d,4f,5d-3F3,4f-3F4,7,9,2159.55,0.014224,0.013181,6.32E+03,5.86E+03,Ar(5d[7/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(5d[7/2]3),R,5234.95,-4630.59
5d,4f,5d-3F3,4f-3G4,7,9,743.22,2.26E-03,2.48E-04,1.19E+02,13.0483,Ar(5d[7/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(5d[7/2]3),R,19728.92,-13455.15
5d,4f,5d-3D3,4f-1G4,7,9,2333.59,0.024643,0.026683,1.28E+04,1.38E+04,Ar(5d'[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(5d'[5/2]3),R,2984.85,-4285.24
5d,4f,5d-3D3,4f-3F4,7,9,2287.32,0.023528,0.024476,1.17E+05,1.22E+05,Ar(5d'[5/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(5d'[5/2]3),R,3023.42,-4371.93
5d,4f,5d-3D3,4f-3G4,7,9,870.98,2.13E-04,3.21E-05,15.3713,2.31863,Ar(5d'[5/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(5d'[5/2]3),R,5251.71,-11481.32
5d,4f,5d-1F3,4f-1G4,7,9,3686,3.04E-04,8.21E-04,3.94E+02,1.06E+03,Ar(5d[5/2]3),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(5d[5/2]3),R,4711.43,-2712.98
5d,4f,5d-1F3,4f-3F4,7,9,3639.73,9.91E-05,2.61E-04,1.25E+02,3.29E+02,Ar(5d[5/2]3),Ar(4f[7/2]4),Ar(4f[7/2]4)->Ar(5d[5/2]3),R,4808.25,-2747.46
5d,4f,5d-1F3,4f-3G4,7,9,2223.39,0.296413,0.29136,1.40E+05,1.37E+05,Ar(5d[5/2]3),Ar(4f'[7/2]4),Ar(4f'[7/2]4)->Ar(5d[5/2]3),R,14784.33,-4497.66
5d,4f,5d-3F4,4f-3D3,9,7,2112.15,2.23E-03,1.98E-03,7.38E+02,6.55E+02,Ar(5d[7/2]4),Ar(4f[5/2]3),Ar(4f[5/2]3)->Ar(5d[7/2]4),R,5536.12,-4734.51
5d,4f,5d-3F4,4f-1F3,9,7,2089.56,1.25E-03,1.09E-03,4.06E+02,3.52E+02,Ar(5d[7/2]4),Ar(4f[7/2]3),Ar(4f[7/2]3)->Ar(5d[7/2]4),R,5598.49,-4785.7
5d,4f,5d-3F4,4f-3G3,9,7,673.3,1.41E-06,1.27E-07,0.0472632,4.26E-03,Ar(5d[7/2]4),Ar(4f'[7/2]3),Ar(4f'[7/2]3)->Ar(5d[7/2]4),R,26121.09,-14852.22
5d,4f,5d-3F4,4f-3F3,9,7,672.59,5.92E-06,5.32E-07,0.198396,0.0178456,Ar(5d[7/2]4),Ar(4f'[5/2]3),Ar(4f'[5/2]3)->Ar(5d[7/2]4),R,26189.23,-14867.9
5d,4f,5d-3F4,4f-1G4,9,9,2135.8,8.67E-03,7.86E-03,2.93E+03,2.66E+03,Ar(5d[7/2]4),Ar(4f[9/2]4),Ar(4f[9/2]4)->Ar(5d[7/2]4),R,5467.78,-4682.09
