,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4p,3d,4p-3S1,3d-1P1,3,3,11321.81,1.536E-04,7.987E-05,4.38E+03,2.28E+03,Ar(4p[1/2]1),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p[1/2]1),O,887.72,883.25
4p,3d,4p-3D1,3d-3P1,3,3,6456.9,0.02833,0.04121,2.63E+05,3.82E+05,Ar(4p[3/2]1),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p[3/2]1),O,1744.97,1548.73
4p,3d,4p-3D1,3d-3D1,3,3,8048.1,0.70373,0.64202,1.01E+07,9.25E+06,Ar(4p[3/2]1),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p[3/2]1),O,1240.62,1242.53
4p,3d,4p-3D1,3d-1P1,3,3,9605.91,0.02215,0.01392,4.55E+05,2.86E+05,Ar(4p[3/2]1),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p[3/2]1),O,1077.63,1041.03
4p,3d,4p-1P1,3d-3P1,3,3,5392.9,0.0205,0.04229,1.33E+05,2.74E+05,Ar(4p'[3/2]1),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p'[3/2]1),O,2133.87,1854.29
4p,3d,4p-1P1,3d-3D1,3,3,6984.11,0.00721,0.00856,7.83E+04,9.31E+04,Ar(4p'[3/2]1),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p'[3/2]1),O,1425.31,1431.82
4p,3d,4p-1P1,3d-1P1,3,3,8541.91,0.30487,0.24804,4.95E+06,4.02E+06,Ar(4p'[3/2]1),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p'[3/2]1),O,1214.31,1170.7
4p,3d,4p-3P1,3d-3P1,3,3,5042.31,0.046,0.10699,2.60E+05,6.05E+05,Ar(4p'[1/2]1),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p'[1/2]1),O,2313.95,1983.21
4p,3d,4p-3P1,3d-3D1,3,3,6633.52,0.06039,0.08135,5.91E+05,7.96E+05,Ar(4p'[1/2]1),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p'[1/2]1),O,1503.46,1507.49
4p,3d,4p-3P1,3d-1P1,3,3,8191.32,0.43764,0.38387,6.53E+06,5.73E+06,Ar(4p'[1/2]1),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p'[1/2]1),O,1270.58,1220.8
4p,3d,4p-3S1,3d-3P2,3,5,8432.4,1.41182,1.16824,1.34E+07,1.11E+07,Ar(4p[1/2]1),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p[1/2]1),O,1244.27,1185.9
4p,3d,4p-3S1,3d-3F2,3,5,9011.22,2.262E-04,2.381E-04,2.45E+03,2.58E+03,Ar(4p[1/2]1),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p[1/2]1),O,1072.52,1109.73
4p,3d,4p-3S1,3d-1D2,3,5,10211.75,1.755E-05,2.312E-05,2.44E+02,3.22E+02,Ar(4p[1/2]1),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p[1/2]1),O,948.87,979.26
4p,3d,4p-3S1,3d-3D2,3,5,10339.1,0.05114,0.02799,7.29E+05,3.99E+05,Ar(4p[1/2]1),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p[1/2]1),O,934.31,967.2
4p,3d,4p-3D1,3d-3P2,3,5,6716.49,0.09403,0.12134,5.66E+05,7.30E+05,Ar(4p[3/2]1),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p[3/2]1),O,1652.44,1488.87
4p,3d,4p-3D1,3d-3F2,3,5,7295.31,1.72901,1.91903,1.23E+07,1.36E+07,Ar(4p[3/2]1),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p[3/2]1),O,1362.64,1370.74
4p,3d,4p-3D1,3d-1D2,3,5,8495.85,0.03204,0.02651,3.09E+05,2.55E+05,Ar(4p[3/2]1),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p[3/2]1),O,1169.08,1177.05
4p,3d,4p-3D1,3d-3D2,3,5,8623.2,0.03785,0.02952,3.76E+05,2.93E+05,Ar(4p[3/2]1),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p[3/2]1),O,1147.07,1159.66
4p,3d,4p-1P1,3d-3P2,3,5,5652.5,0.02936,0.05337,1.25E+05,2.28E+05,Ar(4p'[3/2]1),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p'[3/2]1),O,1997.12,1769.13
4p,3d,4p-1P1,3d-3F2,3,5,6231.32,1.416E-04,1.895E-04,7.34E+02,9.82E+02,Ar(4p'[3/2]1),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p'[3/2]1),O,1588.75,1604.8
4p,3d,4p-1P1,3d-1D2,3,5,7431.85,2.34012,2.51,1.72E+07,1.85E+07,Ar(4p'[3/2]1),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p'[3/2]1),O,1331.68,1345.56
4p,3d,4p-1P1,3d-3D2,3,5,7559.21,0.01001,0.01004,7.63E+04,7.65E+04,Ar(4p'[3/2]1),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p'[3/2]1),O,1303.2,1322.89
4p,3d,4p-3P1,3d-3P2,3,5,5301.91,0.00867,0.01798,3.25E+04,6.74E+04,Ar(4p'[1/2]1),Ar(3d[3/2]2),Ar(3d[3/2]2)->Ar(4p'[1/2]1),O,2154.01,1886.11
