obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
,530.9513,,1.2E+05,4.4E-02,E,106237.5518,125066.432,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,5,5,,
,531.7715,,2.6E+05,1.4E-01,E,107289.7001,126089.54,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).7d,2[5/2]*,3,5,7,,
,537.3494,,2.7E+05,1E-01,D,106087.2598,124691.951,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,2,3,5,,
,539.3979,,9.6E+04,3.7E-02,D,106237.5518,124771.59,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,5,5,,
,541.0475,,2E+05,1.1E-01,D,106237.5518,124715.081,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,3,5,7,,
542.1352,542.1351,5,6E+05,2.4E-01,D,105462.7596,123903.220,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,7,5,,
,543.9989,,1.9E+05,4.5E-02,D+,104102.0990,122479.3820,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,3,3,,
,544.2246,,9.3E+04,5.2E-02,D,105462.7596,123832.419,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,3,7,7,,
545.1652,545.1652,10,4.7E+05,1.9E-01,D+,104102.0990,122440.0672,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,3,5,,
,545.7416,,3.6E+05,8.7E-02,D,105617.2700,123935.870,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,5,3,,
,545.9651,,3.8E+04,2.1E-02,D,105462.7596,123773.8614,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,7,7,,
,546.7160,,7.6E+04,3.1E-02,D,105617.2700,123903.220,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,5,5,,
,547.3451,,2E+05,4.9E-02,D,105617.2700,123882.203,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,5,3,,
,549.0120,,8.5E+04,3.5E-02,D,105617.2700,123826.750,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,5,5,,
,549.2080,,5.6E+05,4.6E-02,E,107131.7086,125334.69,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).8s,2[1/2]*,0,3,1,,
549.5874,549.5873,25,1.69E+06,1.25E+00,C,105462.7596,123653.177,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,4,7,9,,
550.6113,550.6112,5,3.6E+05,2.1E-01,D+,105617.2700,123773.8614,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,5,7,,
,552.4957,,1.7E+05,9.9E-02,D+,105462.7596,123557.4227,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,7,7,,
,552.8961,,1.2E+05,3E-02,E,107054.2720,125135.831,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,1,3,,
,553.4479,,2.7E+05,6.8E-02,D+,107289.7001,125353.23,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).8s,2[1/2]*,1,5,3,,
,554.0860,,4.1E+04,1.7E-02,D,105462.7596,123505.4896,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,7,5,,
,555.2741,,7.9E+04,2E-02,E,107131.7086,125135.831,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,3,3,,
555.8702,555.8702,25,1.42E+06,6.02E-01,C,104102.0990,122086.9164,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,3,5,,
,555.9676,,2.2E+05,9.3E-02,D+,107131.7086,125113.376,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,2,3,5,,
557.2541,557.2541,10,6.6E+05,3.9E-01,C,105617.2700,123557.4227,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,5,7,,
,557.4228,,4.6E+04,2E-02,D,107131.7086,125066.432,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,3,5,,
,558.1871,,5.6E+04,2.4E-02,D+,105462.7596,123372.9253,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,7,5,,
,558.8720,,1.5E+05,6.5E-02,D+,105617.2700,123505.4896,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,5,5,,
,559.7476,,4.2E+05,2.5E-01,E,107289.7001,125149.937,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,5,7,,
560.6733,560.6733,35,2.2E+06,5.75E-01,C,104102.0990,121932.8477,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3,3,,
,561.8014,,2.1E+05,5.5E-02,D,106087.2598,123882.203,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,
,562.0921,,3.6E+05,3.2E-02,D,106087.2598,123873.000,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,
