obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
,1555.5460,,9.8E+03,1.3E-01,D,107289.7001,113716.555,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,5,7,,
,1573.4909,,2.9E+04,1.7E-01,D,107289.7001,113643.260,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,
,1577.6614,,5.9E+04,5.7E-01,E,107131.7086,113468.473,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,
,1581.6777,,8.7E+04,5.1E-01,E,112138.924,118459.5975,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,5,3,,
,1589.9687,,7.7E+06,7.6E+01,D,115366.866,121654.580,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,3,5,,
1598.949,1598.9491,30,1.9E+06,1.2E+01,D,108722.6194,114975.019,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,
,1612.2656,,3.9E+04,2.4E-01,D,105617.2700,111818.028,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,5,3,,
,1618.0023,,1.2E+05,1.3E+00,D,107289.7001,113468.473,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,
,1626.4070,,3E+04,1.9E-01,D,107496.4166,113643.260,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,
,1643.6575,,5.9E+06,6.5E+01,D,114147.732,120230.063,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,3,5,,
1651.986,1651.9867,30,2.6E+05,2.9E+00,D,106087.2598,112138.924,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,
,1654.9307,,1.6E+06,1.8E+01,D,114147.732,120188.631,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,3,5,,
,1655.0400,,1.6E+06,1.1E+01,D,114147.732,120188.232,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,3,3,,
,1674.0078,,3.1E+05,3.6E+00,D,107496.4166,113468.473,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,
1694.058,1694.0584,500,2.5E+06,3E+01,D,106237.5518,112138.924,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,
,1782.399,,8.4E+05,1.6E+01,E,114640.992,120249.876,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,5,7,,
,2032.256,,1.6E+05,2E+00,D,108722.6194,113643.260,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,
2062.186,2062.186,50,3.9E+05,8.4E+00,D,107289.7001,112138.924,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,
,2081.672,,7.6E+04,2.4E+00,D,112138.924,116942.7542,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,5,7,,
,2133.871,,3.2E+04,4.6E-01,D,107131.7086,111818.028,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,
,2154.008,,1.1E+05,2.7E+00,D,107496.4166,112138.924,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,
,2204.558,,1.2E+05,6.3E-01,D,107131.7086,111667.766,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,
,2208.321,,1.4E+05,2.2E+00,D,107289.7001,111818.028,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,5,3,,
2313.951,2313.952,20,1.7E+05,3.1E+00,D,107496.4166,111818.028,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,
,2385.154,,1.1E+06,5.2E+01,D,112750.153,116942.7542,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,9,7,,
2397.306,2397.306,20,3.6E+05,2.4E+00,D,107496.4166,111667.766,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,
