obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Source
,493.7720,,3.6e+04,9.4e-05,E,105462.7596,125709.37,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).11s,2[3/2]*,2,7,5,,T1164n,,NIST
,495.6750,,1.8e+05,8.5e-04,E,105462.7596,125631.64,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,4,7,9,,T1164n,,NIST
,498.9943,,1.1e+05,5.8e-04,E,105617.2700,125651.99,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,3,5,7,,T1164n,,NIST
,503.2024,,8.2e+04,2.2e-04,E,105462.7596,125329.94,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,2,7,5,,T1164n,,NIST
,504.8811,,4.6e+05,2.9e-03,D,104102.0990,123903.220,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,3,5,,T1218n,,NIST
,505.4176,,4.5e+05,1.7e-03,D,104102.0990,123882.203,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,T1218n,,NIST
,505.6529,,5.7e+05,7.3e-04,D,104102.0990,123873.000,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,T1218n,,NIST
,506.0079,,3.7e+05,1.8e-03,E,105462.7596,125219.788,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,4,7,9,,T1164n,,NIST
,507.0977,,2.6e+05,6.0e-04,E,105617.2700,125331.84,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,5,3,,T1164n,,NIST
,507.3076,,5.9e+04,3.8e-04,D,104102.0990,123808.513,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,T1164n,,NIST
,507.8033,,4.7e+04,1.8e-04,E,105462.7596,125149.937,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,7,7,,T1164n,,NIST
