BOLSIG+ script file: glow-discharge/CR/1Torr_100V/Transport/input.300K.bolsig.dat
READCOLLISIONS
Ar
glow-discharge/nominal-crs/BSR_CRModel.txt
C1    Ar    Elastic                                             
C254  Ar(2p6)    Excitation    0.85 eV                          
C255  Ar(2p6)    Excitation    0.86 eV                          
C256  Ar(2p6)    Excitation    0.87 eV                          
C257  Ar(2p6)    Excitation    0.88 eV                          
C258  Ar(2p6)    Excitation    0.90 eV                          
C259  Ar(2p6)    Excitation    0.91 eV                          
C260  Ar(2p6)    Excitation    0.93 eV                          
C261  Ar(2p6)    Excitation    1.01 eV                          
C262  Ar(2p6)    Excitation    1.03 eV                          
C263  Ar(2p6)    Excitation    1.04 eV                          
C264  Ar(2p6)    Excitation    1.04 eV                          
C265  Ar(2p6)    Excitation    1.05 eV                          
C266  Ar(2p6)    Excitation    1.08 eV                          
C267  Ar(2p6)    Ionization    2.59 eV                          
Ar(2p5)
glow-discharge/nominal-crs/BSR_CRModel.txt
C268  Ar(2p5)    Excitation    0.0010 eV                        
C269  Ar(2p5)    Excitation    0.022 eV                         
C270  Ar(2p5)    Excitation    0.046 eV                         
C271  Ar(2p5)    Excitation    0.20 eV                          
C272  Ar(2p5)    Excitation    0.67 eV                          
C273  Ar(2p5)    Excitation    0.69 eV                          
C274  Ar(2p5)    Excitation    0.70 eV                          
C275  Ar(2p5)    Excitation    0.75 eV                          
C276  Ar(2p5)    Excitation    0.77 eV                          
C277  Ar(2p5)    Excitation    0.77 eV                          
C278  Ar(2p5)    Excitation    0.78 eV                          
C279  Ar(2p5)    Excitation    0.81 eV                          
C280  Ar(2p5)    Excitation    0.82 eV                          
C281  Ar(2p5)    Excitation    0.83 eV                          
C282  Ar(2p5)    Excitation    0.92 eV                          
C283  Ar(2p5)    Excitation    0.93 eV                          
C284  Ar(2p5)    Excitation    0.94 eV                          
C285  Ar(2p5)    Excitation    0.95 eV                          
C286  Ar(2p5)    Excitation    0.95 eV                          
C287  Ar(2p5)    Excitation    0.98 eV                          
C288  Ar(2p5)    Ionization    2.49 eV                          
Ar(2p4)
glow-discharge/nominal-crs/BSR_CRModel.txt
C289  Ar(2p4)    Excitation    0.021 eV                         
C290  Ar(2p4)    Excitation    0.045 eV                         
C291  Ar(2p4)    Excitation    0.20 eV                          
C292  Ar(2p4)    Excitation    0.67 eV                          
C293  Ar(2p4)    Excitation    0.68 eV                          
C294  Ar(2p4)    Excitation    0.70 eV                          
C295  Ar(2p4)    Excitation    0.75 eV                          
C296  Ar(2p4)    Excitation    0.77 eV                          
C297  Ar(2p4)    Excitation    0.77 eV                          
